depth_m,Temp_degC
17.846,14.1778
17.886,14.1718
17.93,14.1642
17.97,14.1539
18.006,14.1416
18.036,14.1262
18.063,14.1101
18.091,14.0893
18.123,14.0676
18.159,14.0501
18.193,14.0374
18.224,14.031
18.251,14.0175
18.27,13.9993
18.28,13.9819
18.294,13.9647
18.314,13.9552
18.344,13.9485
18.373,13.9414
18.404,13.9395
18.442,13.9345
18.482,13.9276
18.521,13.92
18.553,13.9077
18.592,13.8973
18.633,13.8894
18.664,13.8799
18.687,13.8693
18.712,13.8624
18.732,13.8566
18.763,13.8501
18.797,13.8442
18.821,13.8399
18.841,13.8368
18.858,13.8331
18.875,13.8289
18.9,13.8256
18.935,13.8238
18.976,13.8229
19.025,13.8229
19.069,13.8207
19.103,13.8115
19.129,13.7973
19.144,13.783
19.16,13.7701
19.182,13.7606
19.213,13.754
19.251,13.7466
19.289,13.7427
19.324,13.7422
19.347,13.7274
19.36,13.7094
19.372,13.6949
19.384,13.6866
19.406,13.6825
19.441,13.677
19.481,13.6665
19.526,13.6601
19.567,13.6505
19.601,13.6347
19.633,13.6193
19.666,13.6061
19.699,13.5931
19.727,13.5815
19.754,13.5733
19.782,13.5646
19.803,13.5534
19.822,13.5421
19.843,13.5299
19.877,13.5189
19.923,13.5116
19.968,13.498
20.011,13.4821
20.044,13.4631
20.071,13.4441
20.09,13.4289
20.114,13.4189
20.145,13.413
20.178,13.4089
20.208,13.4066
20.236,13.4061
20.263,13.4059
20.292,13.4036
20.316,13.3985
20.349,13.3939
20.382,13.3907
20.42,13.3842
20.458,13.376
20.496,13.3662
20.537,13.3572
20.576,13.3448
20.606,13.3314
20.635,13.3189
20.652,13.3111
20.67,13.3036
20.685,13.296
20.698,13.2846
20.711,13.274
20.729,13.2693
20.749,13.2672
20.79,13.2628
20.836,13.2579
20.883,13.2553
20.925,13.2437
20.954,13.2268
20.97,13.2097
20.976,13.1939
20.994,13.1798
21.023,13.1717
21.053,13.159
21.076,13.1349
21.104,13.1211
21.132,13.1183
21.16,13.1101
21.196,13.0836
21.24,13.0513
21.278,13.0033
21.305,12.9549
21.326,12.9117
21.347,12.8767
21.389,12.8526
21.444,12.8362
21.488,12.8237
21.517,12.7979
21.542,12.764
21.571,12.7323
21.61,12.7071
21.648,12.6894
21.684,12.676
21.72,12.6616
21.753,12.646
21.778,12.6308
21.806,12.6196
21.844,12.6139
21.881,12.6108
21.912,12.6081
21.935,12.6063
